timestamp,x,y,orientation,speed,angular_speed,speed_cmd,steering_angle
1723044354.7202785,,,,0.0,0.0,,
1723044354.724436,,,,0.0,0.0,,
1723044354.7248764,0.016054001138109026,0.012201811981649843,-0.0028149262879220375,,,,
1723044354.7297177,,,,0.0,0.0,,
1723044354.7374122,0.01317185043469003,0.01214684661203139,-0.0015460532622386899,,,,
1723044354.7423556,,,,0.0,0.0,,
1723044354.7456284,,,,0.0,0.0,,
1723044354.7565567,,,,0.0,0.0,,
1723044354.7578204,0.017758352892986634,0.008984402431000686,-0.0013175657591155917,,,,
1723044354.7632227,,,,0.0,0.0,,
1723044354.764527,,,,0.0,0.0,,
1723044354.7703085,,,,0.0,0.0,,
1723044354.773014,,,,0.0,0.0,,
1723044354.7762194,,,,0.0,0.0,,
1723044354.7802305,,,,0.0,0.0,,
1723044354.788604,,,,0.0,0.0,,
1723044354.7902524,0.013878777974485933,0.009157757637842696,-0.000991412577525242,,,,
1723044354.79251,,,,0.0,0.0,,
1723044354.796315,,,,0.0,0.0,,
1723044354.8003585,,,,0.0,0.0,,
1723044354.8043168,,,,0.0,0.0,,
1723044354.8083258,,,,0.0,0.0,,
1723044354.81223,,,,0.0,0.0,,
1723044354.8149986,0.017316676930334368,0.01256064077493483,-0.0010752893405199476,,,,
1723044354.8255682,,,,0.0,0.0,,
1723044354.8311975,,,,0.0,0.0,,
1723044354.83251,,,,0.0,0.0,,
1723044354.8363369,,,,0.0,0.0,,
1723044354.8439848,,,,0.0,0.0,,
1723044354.845294,,,,0.0,0.0,,
1723044354.8473842,0.013761315707965429,0.011154901493403719,-0.00027017981361623434,,,,
1723044354.8484209,,,,0.0,0.0,,
1723044354.8650358,,,,0.0,0.0,,
1723044354.8712916,0.01628419432597143,0.011247164775774397,-0.0019619031585514047,,,,
1723044354.8713539,,,,0.0,0.0,,
1723044354.8724759,,,,0.0,0.0,,
1723044354.8762922,,,,0.0,0.0,,
1723044354.887274,,,,0.0,0.0,,
1723044354.8886287,,,,0.0,0.0,,
1723044354.89086,0.013608035172464235,0.011052722417293985,-0.0005949071278810398,,,,
1723044354.8947837,,,,0.0,0.0,,
1723044354.8962114,,,,0.0,0.0,,
1723044354.9012365,,,,0.0,0.0,,
1723044354.9042892,,,,0.0,0.0,,
1723044354.9073317,0.012065606439377501,0.011057661155754621,-0.0013915675717026904,,,,
1723044354.9157023,,,,0.0,0.0,,
1723044354.9169211,,,,0.0,0.0,,
1723044354.9189408,0.007046437867460958,0.01141401226507751,-6.595193078531359e-05,,,,
1723044354.920225,,,,0.0,0.0,,
1723044354.9242678,,,,0.0,0.0,,
1723044354.929391,,,,0.0,0.0,,
1723044354.9322522,,,,0.0,0.0,,
1723044354.9322672,0.014007174256528145,0.011983653488402243,-0.0025966552235792365,,,,
1723044354.9367936,,,,0.0,0.0,,
1723044354.9440708,,,,0.0,0.0,,
1723044354.945279,,,,0.0,0.0,,
1723044354.945879,0.015871296644575403,0.010475024053698934,-0.0015864697348056077,,,,
1723044354.9484398,,,,0.0,0.0,,
1723044354.9523127,,,,0.0,0.0,,
1723044354.9562151,0.01573000399845098,0.011506452139058577,-0.0015231042253580859,,,,
1723044354.9563115,,,,0.0,0.0,,
1723044354.9602253,,,,0.0,0.0,,
1723044354.964279,,,,0.0,0.0,,
1723044354.9744008,0.018706253455863037,0.011804836459077886,-0.001890629679089951,,,,
1723044354.9746213,,,,0.0,0.0,,
1723044354.9807668,,,,0.0,0.0,,
1723044354.984444,,,,0.0,0.0,,
1723044354.9860466,0.0139958626467637,0.012912695656597441,-0.0013703045745326,,,,
1723044354.988367,,,,0.0,0.0,,
1723044354.9922163,,,,0.0,0.0,,
1723044354.996268,0.009757166041029006,0.014409253973744748,-0.0022851329888775814,,,,
1723044354.997693,,,,0.0,0.0,,
1723044355.0098135,,,,0.0,0.0,,
1723044355.0114632,0.014352684605181108,0.012991046461802967,-0.0024106348819288533,,,,
1723044355.0140584,,,,0.0,0.0,,
1723044355.0206952,,,,0.0,0.0,,
1723044355.0247126,,,,0.0,0.0,,
1723044355.0288436,,,,0.0,0.0,,
1723044355.0289385,0.011477280485253165,0.014494019994408538,-0.0032932715307636643,,,,
1723044355.0433161,,,,0.0,0.0,,
1723044355.0444355,,,,0.0,0.0,,
1723044355.0458632,0.010948573090608224,0.012570744420990623,-0.00150431641952078,,,,
1723044355.056538,0.014383764492213853,0.010049669256049018,-0.001008100999024176,,,,
1723044355.0569205,,,,0.0,0.0,,
1723044355.0638232,,,,0.0,0.0,,
1723044355.0649652,,,,0.0,0.0,,
1723044355.0773067,,,,0.0,0.0,,
1723044355.0802174,,,,0.0,0.0,,
1723044355.084935,,,,0.0,0.0,,
1723044355.0865204,0.012874385766225474,0.013264217052834098,-0.003129037022264992,,,,
1723044355.088508,,,,0.0,0.0,,
1723044355.0923018,,,,0.0,0.0,,
1723044355.0962486,,,,0.0,0.0,,
1723044355.106372,,,,0.0,0.0,,
1723044355.1080103,0.01244210908206931,0.012642660257150681,-0.0033801639110893297,,,,
1723044355.1083126,,,,0.0,0.0,,
1723044355.1144521,,,,0.0,0.0,,
1723044355.1183753,,,,0.0,0.0,,
1723044355.1218302,,,,0.0,0.0,,
1723044355.1232598,0.01355792542195596,0.012511661591235115,-0.0022099091192296035,,,,
1723044355.1242597,,,,0.0,0.0,,
1723044355.1284485,,,,0.0,0.0,,
1723044355.1420782,,,,0.0,0.0,,
1723044355.1436906,0.017156346688385907,0.012982296395150025,-0.0027901975648767737,,,,
1723044355.144217,,,,0.0,0.0,,
1723044355.1497047,,,,0.0,0.0,,
1723044355.155012,,,,0.0,0.0,,
1723044355.1562085,,,,0.0,0.0,,
1723044355.1608171,,,,0.0,0.0,,
1723044355.1669705,,,,0.0,0.0,,
1723044355.1683936,,,,0.0,0.0,,
1723044355.1750054,,,,0.0,0.0,,
1723044355.1761992,,,,0.0,0.0,,
1723044355.176907,0.01867104600399333,0.010640018566764577,-0.001544116582868927,,,,
1723044355.1832151,,,,0.0,0.0,,
1723044355.1844237,,,,0.0,0.0,,
1723044355.1884084,,,,0.0,0.0,,
1723044355.1949942,,,,0.0,0.0,,
1723044355.1951509,0.017991506851290848,0.012425076722866253,-0.0018119447792817273,,,,
1723044355.1961894,,,,0.0,0.0,,
1723044355.2028646,,,,0.0,0.0,,
1723044355.204172,,,,0.0,0.0,,
1723044355.2111056,,,,0.0,0.0,,
1723044355.2127726,,,,0.0,0.0,,
1723044355.2146106,0.01967163374715989,0.009742177505715897,-0.0015244021092038157,,,,
1723044355.2191355,,,,0.0,0.0,,
1723044355.2207835,,,,0.0,0.0,,
1723044355.2242446,,,,0.0,0.0,,
1723044355.2311783,,,,0.0,0.0,,
1723044355.2329113,,,,0.0,0.0,,
1723044355.2351487,0.01376689459806402,0.009514266936517048,-0.0008714595738619442,,,,
1723044355.236265,,,,0.0,0.0,,
1723044355.2402108,,,,0.0,0.0,,
1723044355.2442355,,,,0.0,0.0,,
1723044355.2483354,,,,0.0,0.0,,
1723044355.2522306,,,,0.0,0.0,,
1723044355.2549303,0.012290637073597276,0.012457108974168875,-0.0023974591238345114,,,,
1723044355.2563474,,,,0.0,0.0,,
1723044355.260254,,,,0.0,0.0,,
1723044355.2642336,,,,0.0,0.0,,
1723044355.2689607,,,,0.0,0.0,,
1723044355.272235,,,,0.0,0.0,,
1723044355.2763224,,,,0.0,0.0,,
1723044355.2765098,0.010017095444094863,0.01371161335113171,-0.0028883280556224696,,,,
1723044355.2825582,,,,0.0,0.0,,
1723044355.2842014,,,,0.0,0.0,,
1723044355.2883704,,,,0.0,0.0,,
1723044355.3017883,,,,0.0,0.0,,
1723044355.3131948,,,,0.0,0.0,,
1723044355.3148468,0.007884597554612474,0.012075616437783114,-0.0019437889896247959,,,,
1723044355.3178806,,,,0.0,0.0,,
1723044355.3204646,,,,0.0,0.0,,
1723044355.3255978,,,,0.0,0.0,,
1723044355.3311453,,,,0.0,0.0,,
1723044355.332566,,,,0.0,0.0,,
1723044355.337698,,,,0.0,0.0,,
1723044355.3402677,,,,0.0,0.0,,
1723044355.3442502,,,,0.0,0.0,,
1723044355.3472624,0.014174619827803376,0.010814579833054401,-0.0010998795508350373,,,,
1723044355.35116,,,,0.0,0.0,,
1723044355.352666,,,,0.0,0.0,,
1723044355.356245,,,,0.0,0.0,,
1723044355.360282,,,,0.0,0.0,,
1723044355.3626769,0.018173970278606708,0.012936733773233627,-0.0016560341001554911,,,,
1723044355.365322,,,,0.0,0.0,,
1723044355.3692808,,,,0.0,0.0,,
1723044355.3722482,,,,0.0,0.0,,
1723044355.3762257,,,,0.0,0.0,,
1723044355.3802335,,,,0.0,0.0,,
1723044355.3843098,,,,0.0,0.0,,
1723044355.3884113,,,,0.0,0.0,,
1723044355.3922741,,,,0.0,0.0,,
1723044355.3923893,0.01009691916954832,0.012201941149007791,-0.004198457611761764,,,,
1723044355.3962188,,,,0.0,0.0,,
1723044355.4010782,,,,0.0,0.0,,
